Fechaa,target,predicted,to_powerbi
2019-03-01,2195311.53,2168339.4642631584,2195311.53
2019-03-02,2498262.42,2568289.449052632,2498262.42
2019-03-03,2693016.83,2968239.433842106,2693016.83
2019-03-04,3154446.96,3368189.4186315793,3154446.96
2019-03-05,3766696.13,3768139.4034210527,3766696.13
2019-03-06,4196232.35,4168089.3882105267,4196232.35
2019-03-07,4680526.38,4568039.373,4680526.38
2019-03-08,5239393.97,4967989.357789474,5239393.97
2019-03-09,5498102.3,5367939.342578948,5498102.3
2019-03-10,5654922.93,5767889.327368421,5654922.93
2019-03-11,6101217.08,6167839.3121578945,6101217.08
2019-03-12,6651754.68,6567789.296947368,6651754.68
2019-03-13,7194678.96,6967739.281736841,7194678.96
2019-03-14,7608318.13,7367689.266526315,7608318.13
2019-03-15,8037439.92,7767639.251315788,8037439.92
2019-03-16,8247376.35,8167589.236105262,8247376.35
2019-03-17,8398368.24,8567539.220894735,8398368.24
2019-03-18,8716486.3,8967489.20568421,8716486.3
2019-03-19,9057345.760000002,9367439.190473683,9057345.760000002
2019-03-20,,9767389.175263155,9767389.175263155
2019-03-21,,10167339.160052631,10167339.160052631
2019-03-22,,10567289.144842103,10567289.144842103
2019-03-23,,10967239.129631579,10967239.129631579
2019-03-24,,11367189.114421051,11367189.114421051
2019-03-25,,11767139.099210523,11767139.099210523
2019-03-26,,12167089.083999999,12167089.083999999
2019-03-27,,12567039.068789471,12567039.068789471
2019-03-28,,12966989.053578947,12966989.053578947
2019-03-29,,13366939.038368419,13366939.038368419
2019-03-30,,13766889.02315789,13766889.02315789
2019-03-31,,14166839.007947367,14166839.007947367
