level_0,index,Año,Mes,Real,UC,Inv Real,target,PhotoDate,weekday,day
0,2,2019,3,169622,0,192603,0.8806820246828969,01-03-2019,4,1
0,2,2019,3,169622,0,192603,0.8806820246828969,02-03-2019,5,2
0,2,2019,3,169622,0,192603,0.8806820246828969,03-03-2019,6,3
1,27,2019,3,167708,179,192603,0.8698151119141446,04-03-2019,0,4
2,52,2019,3,168220,239,192603,0.8721619081738083,05-03-2019,1,5
3,77,2019,3,168525,299,192603,0.87343395481898,06-03-2019,2,6
4,102,2019,3,168867,359,192603,0.8748981064677082,07-03-2019,3,7
5,127,2019,3,168751,420,192603,0.8739791176669107,08-03-2019,4,8
5,127,2019,3,168751,420,192603,0.8739791176669107,09-03-2019,5,9
5,127,2019,3,168751,420,192603,0.8739791176669107,10-03-2019,6,10
6,152,2019,3,166585,623,192603,0.861679205412169,11-03-2019,0,11
7,177,2019,3,166535,687,192603,0.86108731432013,12-03-2019,1,12
8,202,2019,3,166701,754,192603,0.8616013250053218,13-03-2019,2,13
9,227,2019,3,166656,821,192603,0.861019817967529,14-03-2019,3,14
10,252,2019,3,166409,890,192603,0.8593791373966138,15-03-2019,4,15
10,252,2019,3,166409,890,192603,0.8593791373966138,16-03-2019,5,16
10,252,2019,3,166409,890,192603,0.8593791373966138,17-03-2019,6,17
10,252,2019,3,166409,890,192603,0.8593791373966138,18-03-2019,0,18
11,277,2019,3,164350,1148,192603,0.847349210552276,19-03-2019,1,19
12,302,2019,3,164552,1221,192603,0.8480189820511622,20-03-2019,2,20
13,327,2019,3,164547,1288,192603,0.8476451560982955,21-03-2019,3,21
14,352,2019,3,164396,1354,192603,0.846518486212572,22-03-2019,4,22
