Fechaa,target,predicted,to_powerbi
2019-03-01,204889.0,-47874.42857142861,204889.0
2019-03-02,239885.0,195167.95054945053,239885.0
2019-03-03,291284.0,438210.3296703297,291284.0
2019-03-04,544131.0,681252.7087912088,544131.0
2019-03-05,848642.0,924295.087912088,848642.0
2019-03-06,1132459.0,1167337.4670329671,1132459.0
2019-03-07,1299611.0,1410379.8461538462,1299611.0
2019-03-08,1745008.0,1653422.2252747254,1745008.0
2019-03-09,2004896.0,1896464.6043956045,2004896.0
2019-03-10,2040793.0,2139506.9835164836,2040793.0
2019-03-11,2408591.0,2382549.3626373624,2408591.0
2019-03-12,2670293.0,2625591.7417582422,2670293.0
2019-03-13,2904456.0,2868634.120879121,2904456.0
2019-03-14,,3111676.5,3111676.5
2019-03-15,,3354718.879120879,3354718.879120879
2019-03-16,,3597761.2582417587,3597761.2582417587
2019-03-17,,3840803.6373626376,3840803.6373626376
2019-03-18,,4083846.0164835164,4083846.0164835164
2019-03-19,,4326888.395604395,4326888.395604395
2019-03-20,,4569930.774725275,4569930.774725275
2019-03-21,,4812973.153846154,4812973.153846154
2019-03-22,,5056015.532967033,5056015.532967033
2019-03-23,,5299057.912087912,5299057.912087912
2019-03-24,,5542100.291208792,5542100.291208792
2019-03-25,,5785142.67032967,5785142.67032967
2019-03-26,,6028185.049450549,6028185.049450549
2019-03-27,,6271227.428571429,6271227.428571429
2019-03-28,,6514269.807692308,6514269.807692308
2019-03-29,,6757312.186813187,6757312.186813187
2019-03-30,,7000354.565934066,7000354.565934066
2019-03-31,,7243396.945054946,7243396.945054946
