Fechaa,target,predicted,to_powerbi
2019-03-01,1643517.9697165117,640841.5205818657,1643517.9697165117
2019-03-02,2502070.5367611977,2288525.0469515473,2502070.5367611977
2019-03-03,2590331.2671091747,3936208.573321229,2590331.2671091747
2019-03-04,5361868.438229758,5583892.09969091,5361868.438229758
2019-03-05,7188297.897426218,7231575.626060592,7188297.897426218
2019-03-06,9039993.091951491,8879259.152430274,9039993.091951491
2019-03-07,11375890.83141702,10526942.678799955,11375890.83141702
2019-03-08,12959335.226837795,12174626.205169637,12959335.226837795
2019-03-09,13697076.877177803,13822309.731539318,13697076.877177803
2019-03-10,13767760.614572354,15469993.257909,13767760.614572354
2019-03-11,15874260.606728846,17117676.78427868,15874260.606728846
2019-03-12,18928317.79860117,18765360.310648363,18928317.79860117
2019-03-13,20926576.09639754,20413043.837018047,20926576.09639754
2019-03-14,22993384.25209326,22060727.363387726,22993384.25209326
2019-03-15,24704790.886557505,23708410.889757406,24704790.886557505
2019-03-16,25437380.644148037,25356094.41612709,25437380.644148037
2019-03-17,25651328.212676488,27003777.942496773,25651328.212676488
2019-03-18,28270185.247290682,28651461.468866453,28270185.247290682
2019-03-19,30391986.080574207,30299144.995236132,30391986.080574207
2019-03-20,32572347.84560978,31946828.521605816,32572347.84560978
2019-03-21,,33594512.047975495,33594512.047975495
2019-03-22,,35242195.57434517,35242195.57434517
2019-03-23,,36889879.10071486,36889879.10071486
2019-03-24,,38537562.62708454,38537562.62708454
2019-03-25,,40185246.15345423,40185246.15345423
2019-03-26,,41832929.679823905,41832929.679823905
2019-03-27,,43480613.20619358,43480613.20619358
2019-03-28,,45128296.73256327,45128296.73256327
2019-03-29,,46775980.25893295,46775980.25893295
2019-03-30,,48423663.785302624,48423663.785302624
2019-03-31,,50071347.311672315,50071347.311672315
