Fechaa,target,predicted,to_powerbi
2019-02-01,365211.0596861548,543459.0104398322,365211.0596861548
2019-02-02,1062491.5588603844,1337016.0852570971,1062491.5588603844
2019-02-03,1904963.6637777812,2130573.160074362,1904963.6637777812
2019-02-04,3481628.704819877,2924130.234891627,3481628.704819877
2019-02-05,4292488.266097278,3717687.309708892,4292488.266097278
2019-02-06,4837225.662430334,4511244.384526157,4837225.662430334
2019-02-07,5470636.544872098,5304801.459343422,5470636.544872098
2019-02-08,5964919.060498818,6098358.534160687,5964919.060498818
2019-02-09,6529673.442345503,6891915.608977951,6529673.442345503
2019-02-10,7246173.192648285,7685472.6837952165,7246173.192648285
2019-02-11,8479593.580277983,8479029.758612482,8479593.580277983
2019-02-12,9480005.769591728,9272586.833429746,9480005.769591728
2019-02-13,10156092.992633604,10066143.90824701,10156092.992633604
2019-02-14,11021038.188002998,10859700.983064277,11021038.188002998
2019-02-15,11477241.070948089,11653258.057881542,11477241.070948089
2019-02-16,12130167.18461603,12446815.132698806,12130167.18461603
2019-02-17,12796482.98363664,13240372.20751607,12796482.98363664
2019-02-18,13503934.393543787,14033929.282333335,13503934.393543787
2019-02-19,14999596.53402436,14827486.357150601,14999596.53402436
2019-02-20,15893586.73096665,15621043.431967866,15893586.73096665
2019-02-21,16739312.970864726,16414600.50678513,16739312.970864726
2019-02-22,17296531.81057091,17208157.581602395,17296531.81057091
2019-02-23,18043317.99781892,18001714.656419657,18043317.99781892
2019-02-24,18892455.53658818,18795271.731236927,18892455.53658818
2019-02-25,,19588828.80605419,19588828.80605419
2019-02-26,,20382385.880871452,20382385.880871452
2019-02-27,,21175942.955688722,21175942.955688722
2019-02-28,,21969500.030505985,21969500.030505985
